time,ydif,mean,max,state
1788555656.50,0.002,0.066,1.982,STATIC
1788555656.59,0.000,0.064,1.982,STATIC
1788555656.69,0.002,0.063,1.982,STATIC
1788555656.81,0.001,0.063,1.982,STATIC
1788555656.90,0.001,0.063,1.982,STATIC
1788555656.98,0.033,0.063,1.982,STATIC
1788555657.10,0.000,0.063,1.982,STATIC
1788555657.20,0.001,0.063,1.982,STATIC
1788555657.29,0.000,0.063,1.982,STATIC
1788555657.39,0.059,0.063,1.982,STATIC
1788555658.11,0.004,0.063,1.982,STATIC
1788555658.12,0.000,0.063,1.982,STATIC
1788555658.13,0.001,0.063,1.982,STATIC
1788555658.14,0.000,0.063,1.982,STATIC
1788555658.15,0.014,0.063,1.982,STATIC
1788555658.16,0.000,0.063,1.982,STATIC
1788555658.18,0.003,0.063,1.982,STATIC
1788555658.19,0.001,0.063,1.982,STATIC
1788555658.28,0.001,0.063,1.982,STATIC
1788555658.38,0.001,0.063,1.982,STATIC
1788555658.49,0.001,0.063,1.982,STATIC
1788555658.59,0.000,0.063,1.982,STATIC
1788555658.70,0.001,0.063,1.982,STATIC
1788555658.81,0.000,0.063,1.982,STATIC
1788555658.89,0.001,0.063,1.982,STATIC
1788555659.00,0.035,0.063,1.982,STATIC
1788555659.08,0.000,0.063,1.982,STATIC
1788555659.21,0.000,0.063,1.982,STATIC
1788555659.30,0.001,0.063,1.982,STATIC
1788555659.40,0.001,0.063,1.982,STATIC
1788555659.50,0.000,0.063,1.982,STATIC
1788555659.57,0.000,0.063,1.982,STATIC
1788555659.70,0.000,0.063,1.982,STATIC
1788555659.80,0.000,0.063,1.982,STATIC
1788555659.89,0.026,0.063,1.982,STATIC
1788555660.00,0.001,0.063,1.982,STATIC
1788555660.08,0.001,0.063,1.982,STATIC
1788555660.19,0.001,0.063,1.982,STATIC
1788555660.29,1.378,0.068,1.982,STATIC
1788555660.39,6.427,0.100,6.427,MOTION
1788555660.51,2.620,0.113,6.427,MOTION
1788555661.00,0.539,0.116,6.427,MOTION
1788555661.01,0.071,0.116,6.427,MOTION
1788555661.03,0.298,0.118,6.427,MOTION
1788555661.04,0.343,0.119,6.427,MOTION
1788555661.05,0.020,0.119,6.427,MOTION
1788555661.09,0.163,0.120,6.427,MOTION
1788555661.18,0.275,0.121,6.427,MOTION
1788555661.27,0.090,0.122,6.427,MOTION
1788555661.40,0.130,0.123,6.427,MOTION
1788555661.49,0.020,0.122,6.427,MOTION
1788555661.60,0.014,0.122,6.427,MOTION
1788555661.68,0.008,0.123,6.427,MOTION
1788555661.77,0.060,0.123,6.427,MOTION
1788555661.89,0.017,0.123,6.427,MOTION
1788555661.98,0.124,0.123,6.427,MOTION
1788555662.10,0.011,0.123,6.427,MOTION
1788555662.20,0.048,0.123,6.427,MOTION
1788555662.29,0.009,0.115,6.427,MOTION
1788555662.38,0.000,0.105,6.427,MOTION
1788555662.53,0.091,0.100,6.427,MOTION
1788555662.59,0.008,0.099,6.427,MOTION
1788555662.68,0.000,0.099,6.427,MOTION
1788555662.78,0.005,0.099,6.427,MOTION
1788555662.88,0.001,0.099,6.427,MOTION
1788555662.98,0.027,0.099,6.427,MOTION
1788555663.21,0.006,0.099,6.427,MOTION
1788555663.22,0.003,0.099,6.427,MOTION
1788555663.30,0.001,0.099,6.427,MOTION
1788555663.40,0.019,0.099,6.427,MOTION
1788555663.65,0.006,0.099,6.427,MOTION
1788555663.66,0.008,0.098,6.427,MOTION
1788555663.68,0.004,0.098,6.427,MOTION
1788555663.80,0.000,0.098,6.427,MOTION
1788555663.90,0.036,0.098,6.427,MOTION
1788555663.98,0.025,0.098,6.427,MOTION
1788555664.09,0.001,0.098,6.427,MOTION
1788555664.17,0.000,0.098,6.427,MOTION
1788555664.29,0.000,0.098,6.427,MOTION
1788555664.40,0.000,0.098,6.427,MOTION
1788555664.48,0.002,0.098,6.427,MOTION
1788555664.74,0.002,0.098,6.427,MOTION
1788555664.75,0.001,0.098,6.427,MOTION
1788555664.78,0.001,0.098,6.427,MOTION
1788555664.89,0.001,0.098,6.427,MOTION
1788555665.77,0.019,0.098,6.427,MOTION
1788555665.78,0.482,0.101,6.427,MOTION
1788555665.80,0.194,0.102,6.427,MOTION
1788555665.81,0.011,0.102,6.427,MOTION
1788555665.83,0.005,0.102,6.427,MOTION
1788555665.84,0.491,0.104,6.427,MOTION
1788555665.86,0.012,0.104,6.427,MOTION
1788555665.87,0.004,0.104,6.427,MOTION
1788555665.89,0.003,0.104,6.427,MOTION
1788555665.91,0.031,0.104,6.427,MOTION
1788555666.01,0.011,0.104,6.427,MOTION
1788555666.07,0.092,0.105,6.427,MOTION
1788555666.18,0.002,0.105,6.427,MOTION
1788555666.27,2.373,0.117,6.427,MOTION
1788555666.40,2.426,0.129,6.427,MOTION
1788555666.49,0.817,0.133,6.427,MOTION
1788555666.59,0.180,0.134,6.427,MOTION
1788555666.70,0.099,0.134,6.427,MOTION
1788555666.78,0.088,0.135,6.427,MOTION
1788555666.91,0.028,0.135,6.427,MOTION
1788555666.98,0.129,0.135,6.427,MOTION
1788555667.07,0.034,0.135,6.427,MOTION
1788555667.18,0.051,0.136,6.427,MOTION
1788555667.26,0.018,0.136,6.427,MOTION
1788555667.40,0.000,0.136,6.427,MOTION
1788555667.48,0.066,0.136,6.427,MOTION
1788555667.57,0.002,0.136,6.427,MOTION
1788555667.68,0.000,0.136,6.427,MOTION
1788555667.78,0.002,0.136,6.427,MOTION
1788555667.89,0.016,0.136,6.427,MOTION
1788555667.98,0.011,0.136,6.427,MOTION
1788555668.10,0.006,0.136,6.427,MOTION
1788555668.20,0.002,0.136,6.427,MOTION
1788555668.28,0.031,0.127,6.427,MOTION
1788555668.39,0.008,0.123,6.427,MOTION
1788555668.51,0.007,0.120,6.427,MOTION
1788555668.57,0.002,0.120,6.427,MOTION
1788555668.69,0.004,0.120,6.427,MOTION
1788555668.77,0.004,0.120,6.427,MOTION
1788555668.89,0.001,0.120,6.427,MOTION
1788555668.99,0.034,0.120,6.427,MOTION
1788555669.09,0.002,0.120,6.427,MOTION
1788555669.18,0.000,0.120,6.427,MOTION
1788555669.30,0.001,0.120,6.427,MOTION
1788555669.36,0.001,0.120,6.427,MOTION
1788555669.51,0.003,0.120,6.427,MOTION
1788555669.58,0.006,0.120,6.427,MOTION
1788555669.69,0.002,0.120,6.427,MOTION
1788555669.77,0.000,0.120,6.427,MOTION
1788555669.87,0.001,0.120,6.427,MOTION
1788555669.98,0.027,0.120,6.427,MOTION
1788555670.07,0.003,0.120,6.427,MOTION
1788555670.20,0.002,0.120,6.427,MOTION
1788555670.29,0.005,0.120,6.427,MOTION
1788555670.38,0.003,0.120,6.427,MOTION
1788555670.49,0.002,0.120,6.427,MOTION
1788555670.58,0.001,0.120,6.427,MOTION
1788555670.69,0.004,0.120,6.427,MOTION
