file,cry_prob,cry_any_prob,face_rate,mouth_open_max,eye_open_min,label_crying,error
2026-07-25_19-45-28.mp4,0.005264611449092627,0.035584706813097,0.0,0.0,1.0,0,
2026-07-07_04-57-45.mp4,0.00030090624932199717,0.0018783612176775932,0.0,0.0,1.0,0,
2026-07-02_02-31-16.mp4,0.0006363385473378003,0.0031067966483533382,0.0,0.0,1.0,0,
2026-07-21_10-13-44.mp4,0.00013071020657662302,0.0007399074384011328,0.0,0.0,1.0,0,
2026-07-06_15-22-42.mp4,0.00037051847903057933,0.0009456370607949793,0.0,0.0,1.0,0,
2026-07-05_13-04-02.mp4,0.0006141165504232049,0.002654614392668009,0.0,0.0,1.0,0,
2026-07-11_17-57-30.mp4,0.003563587088137865,0.020677795633673668,0.0,0.0,1.0,0,
2026-07-06_13-28-15.mp4,0.0003443198511376977,0.0011278720339760184,0.0,0.0,1.0,0,
2026-07-22_08-55-23.mp4,0.0004126216226723045,0.0013013224815949798,0.0,0.0,1.0,0,
2026-07-14_11-50-03.mp4,0.0010990927694365382,0.0066779619082808495,0.0,0.0,1.0,0,
2026-07-05_04-36-37.mp4,0.00013662496348842978,0.00040430689114145935,0.0,0.0,1.0,0,
2026-07-18_15-12-44.mp4,0.0005813661846332252,0.002200790448114276,0.0,0.0,1.0,0,
2026-07-05_11-30-27.mp4,0.00030386203434318304,0.001079229055903852,0.0,0.0,1.0,0,
2026-07-09_19-59-21.mp4,0.0002378324861638248,0.0018839901313185692,0.0,0.0,1.0,0,
2026-07-08_23-17-10.mp4,0.0002183219912694767,0.0006402385770343244,0.0,0.0,1.0,0,
2026-07-11_02-05-10.mp4,0.0003062810574192554,0.0012043799506500363,0.0,0.0,1.0,0,
2026-07-18_17-58-18.mp4,0.7365129590034485,0.7365129590034485,0.0,0.0,1.0,1,
2026-07-26_02-22-06.mp4,0.004162218421697617,0.016316255554556847,0.0,0.0,1.0,0,
2026-07-25_23-50-02.mp4,0.03591694310307503,0.07983355969190598,0.0,0.0,1.0,0,
2026-07-15_18-36-07.mp4,0.0004974681069143116,0.001984191359952092,0.0,0.0,1.0,0,
2026-07-05_19-02-30.mp4,0.0007540304795838892,0.0031694797798991203,0.0,0.0,1.0,0,
2026-07-02_14-21-52.mp4,0.0006411804934032261,0.0011009365553036332,0.0,0.0,1.0,0,
