file,present_frac,move_mean,move_frac,move_curve,wrist_vis_frac,hands_up_frac
2026-07-20_11-27-50.mp4,0.0,0.0251,0.25,"[0.0261, 0.0459, 0.0178, 0.047, 0.0102, 0.0138, 0.0145, 0.0254]",0.0,0.0
2026-07-23_08-30-16.mp4,0.0,0.0097,0.0,"[0.0117, 0.0124, 0.0045, 0.0104]",0.0,0.0
2026-07-04_15-28-42.mp4,0.0,0.0435,0.429,"[0.0158, 0.0082, 0.0306, 0.0172, 0.026, 0.1102, 0.0455]",0.0,0.0
2026-07-26_02-27-30.mp4,0.0,0.0319,0.25,"[0.0082, 0.0191, 0.0768, 0.0083]",0.0,0.0
2026-07-07_04-44-09.mp4,0.0,0.1127,0.875,"[0.1974, 0.1156, 0.226, 0.1624, 0.073, 0.0481, 0.0237, 0.0411]",0.0,0.0
2026-07-09_21-51-26.mp4,0.0,0.0034,0.0,"[0.0046, 0.0022, 0.0012, 0.0054, 0.0021, 0.0024, 0.0027, 0.0138]",0.0,0.0
2026-06-30_16-19-08.mp4,0.0,0.0644,0.714,"[0.0297, 0.1063, 0.124, 0.0388, 0.0245, 0.0446, 0.0793]",0.0,0.0
2026-07-09_12-00-02.mp4,0.0,0.0398,0.625,"[0.0344, 0.0615, 0.0517, 0.0229, 0.0346, 0.0211, 0.0679, 0.0204]",0.0,0.0
2026-07-22_23-22-27.mp4,0.0,0.0,0.0,[0.0],0.0,0.0
2026-07-09_23-01-53.mp4,0.0,0.0027,0.0,"[0.0101, 0.0017, 0.0029, 0.0059, 0.0004, 0.0004, 0.0011, 0.0]",0.0,0.0
2026-07-22_13-38-26.mp4,0.0,0.0127,0.0,"[0.0124, 0.0068, 0.0155, 0.016, 0.0172, 0.0159, 0.0061, 0.0118]",0.0,0.0
2026-07-15_19-36-24.mp4,0.0,0.0072,0.0,"[0.0113, 0.003, 0.0061, 0.005, 0.0025, 0.0079, 0.0149, 0.0072]",0.0,0.0
